

Test SearchCount: 10 Invalid Count: 10 StringCount: 100
HashTable-100-Insert
Trial,N,BasicOps,Time
1,100,900,0.000248908996582
2,100,900,0.000268936157227
3,100,900,0.000236034393311
4,100,900,0.000236034393311
5,100,900,0.000272989273071
6,100,900,0.000256061553955
7,100,900,0.000252962112427
8,100,900,0.000253915786743
9,100,900,0.000252962112427
10,100,900,0.000251054763794


HashTable-100-SearchSuccessful
Trial,N,BasicOps,Time
1,100,90,3.50475311279e-05
2,100,90,3.60012054443e-05
3,100,90,3.81469726562e-05
4,100,90,3.09944152832e-05
5,100,90,3.19480895996e-05
6,100,90,3.81469726562e-05
7,100,90,3.50475311279e-05
8,100,90,3.21865081787e-05
9,100,90,3.50475311279e-05
10,100,90,3.69548797607e-05


HashTable-100-SearchInvalidStrings
Trial,N,BasicOps,Time
1,100,90,3.19480895996e-05
2,100,90,3.50475311279e-05
3,100,90,3.69548797607e-05
4,100,90,3.40938568115e-05
5,100,90,3.21865081787e-05
6,100,90,3.71932983398e-05
7,100,90,3.50475311279e-05
8,100,90,3.19480895996e-05
9,100,90,3.50475311279e-05
10,100,90,3.71932983398e-05
