

Test SearchCount: 10000 Invalid Count: 10000 StringCount: 100000
HashTable-100000-Insert
Trial,N,BasicOps,Time
1,100000,900000,0.177461862564
2,100000,900000,0.17711520195
3,100000,900000,0.212496995926
4,100000,900000,0.240277051926
5,100000,900000,0.139811038971
6,100000,900000,0.11970615387
7,100000,900000,0.120264053345
8,100000,900000,0.113675117493
9,100000,900000,0.111706018448
10,100000,900000,0.112334012985


HashTable-100000-SearchSuccessful
Trial,N,BasicOps,Time
1,100000,90000,0.36400604248
2,100000,90000,0.351164102554
3,100000,90000,0.353101968765
4,100000,90000,0.356971979141
5,100000,90000,0.413332939148
6,100000,90000,0.432492017746
7,100000,90000,0.457345962524
8,100000,90000,0.415993928909
9,100000,90000,0.553154945374
10,100000,90000,0.396792888641


HashTable-100000-SearchInvalidStrings
Trial,N,BasicOps,Time
1,100000,90000,0.75420498848
2,100000,90000,1.13313007355
3,100000,90000,1.16620206833
4,100000,90000,1.31197714806
5,100000,90000,1.37699198723
6,100000,90000,1.39472413063
7,100000,90000,1.58320999146
8,100000,90000,1.37608003616
9,100000,90000,1.23372006416
10,100000,90000,1.06760406494
