

Test SearchCount: 10000 Invalid Count: 10000 StringCount: 100000
HashTable-1425969259-Insert
Trial,N,BasicOps,Time
1,100000,900000,0.150113105774
2,100000,900000,0.147818088531
3,100000,900000,0.148313045502
4,100000,900000,0.143574953079
5,100000,900000,0.140692949295
6,100000,900000,0.140795946121
7,100000,900000,0.140269994736
8,100000,900000,0.142237901688
9,100000,900000,0.141831874847
10,100000,900000,0.142124891281


HashTable-1425969259-SearchSuccessful
Trial,N,BasicOps,Time
1,100000,90000,0.566159963608
2,100000,90000,0.565370082855
3,100000,90000,0.565640926361
4,100000,90000,0.565279960632
5,100000,90000,0.565559148788
6,100000,90000,0.564404964447
7,100000,90000,0.564862012863
8,100000,90000,0.565061092377
9,100000,90000,0.575059890747
10,100000,90000,0.551295042038


HashTable-1425969259-SearchInvalidStrings
Trial,N,BasicOps,Time
1,100000,90000,1.1574409008
2,100000,90000,1.15432596207
3,100000,90000,1.15484285355
4,100000,90000,1.1550848484
5,100000,90000,1.15429186821
6,100000,90000,1.15377497673
7,100000,90000,1.15303897858
8,100000,90000,1.13481092453
9,100000,90000,1.06400084496
10,100000,90000,1.06512403488
