

Test SearchCount: 1 Invalid Count: 1 StringCount: 10
HashTable-10-Insert
Trial,N,BasicOps,Time
1,10,90,3.81469726562e-05
2,10,90,2.69412994385e-05
3,10,90,2.50339508057e-05
4,10,90,2.47955322266e-05
5,10,90,2.50339508057e-05
6,10,90,2.50339508057e-05
7,10,90,2.59876251221e-05
8,10,90,2.50339508057e-05
9,10,90,2.59876251221e-05
10,10,90,2.62260437012e-05


HashTable-10-SearchSuccessful
Trial,N,BasicOps,Time
1,10,9,6.91413879395e-06
2,10,9,5.00679016113e-06
3,10,9,4.05311584473e-06
4,10,9,5.00679016113e-06
5,10,9,4.05311584473e-06
6,10,9,7.15255737305e-06
7,10,9,1.38282775879e-05
8,10,9,5.00679016113e-06
9,10,9,3.81469726562e-06
10,10,9,5.00679016113e-06


HashTable-10-SearchInvalidStrings
Trial,N,BasicOps,Time
1,10,9,5.00679016113e-06
2,10,9,3.81469726562e-06
3,10,9,4.05311584473e-06
4,10,9,5.00679016113e-06
5,10,9,3.81469726562e-06
6,10,9,5.00679016113e-06
7,10,9,4.05311584473e-06
8,10,9,3.81469726562e-06
9,10,9,5.00679016113e-06
10,10,9,4.05311584473e-06
