

Test SearchCount: 100 Invalid Count: 100 StringCount: 1000
HashTable-1000-Insert
Trial,N,BasicOps,Time
1,1000,9000,0.00238585472107
2,1000,9000,0.00236392021179
3,1000,9000,0.002366065979
4,1000,9000,0.00231909751892
5,1000,9000,0.00237989425659
6,1000,9000,0.002357006073
7,1000,9000,0.00235390663147
8,1000,9000,0.00236105918884
9,1000,9000,0.00232195854187
10,1000,9000,0.00237488746643


HashTable-1000-SearchSuccessful
Trial,N,BasicOps,Time
1,1000,900,0.000343084335327
2,1000,900,0.000339031219482
3,1000,900,0.000339984893799
4,1000,900,0.000339984893799
5,1000,900,0.000339031219482
6,1000,900,0.00036096572876
7,1000,900,0.00033712387085
8,1000,900,0.000373125076294
9,1000,900,0.000339984893799
10,1000,900,0.000339031219482


HashTable-1000-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000,900,0.000385046005249
2,1000,900,0.000383138656616
3,1000,900,0.000384092330933
4,1000,900,0.000383853912354
5,1000,900,0.000403881072998
6,1000,900,0.000385999679565
7,1000,900,0.000397920608521
8,1000,900,0.00038480758667
9,1000,900,0.000384092330933
10,1000,900,0.000384092330933
