

Test SearchCount: 100000 Invalid Count: 100000 StringCount: 1000000
HashTable-1000000-Insert
Trial,N,BasicOps,Time
1,1000000,9000000,2.00426197052
2,1000000,9000000,1.76406979561
3,1000000,9000000,1.66518998146
4,1000000,9000000,1.69993519783
5,1000000,9000000,1.63774800301
6,1000000,9000000,1.65029501915
7,1000000,9000000,1.7027888298
8,1000000,9000000,2.08631801605
9,1000000,9000000,1.92737603188
10,1000000,9000000,1.81648993492


HashTable-1000000-SearchSuccessful
Trial,N,BasicOps,Time
1,1000000,900000,126.569977045
2,1000000,900000,127.201894045
3,1000000,900000,124.150978804
4,1000000,900000,126.33278203
5,1000000,900000,125.858100891
6,1000000,900000,125.857789993
7,1000000,900000,127.78609705
8,1000000,900000,125.687644958
9,1000000,900000,126.527104139
10,1000000,900000,126.99583602


HashTable-1000000-SearchInvalidStrings
Trial,N,BasicOps,Time
1,1000000,900000,257.500218153
2,1000000,900000,256.377515078
3,1000000,900000,250.742901802
4,1000000,900000,256.681011915
5,1000000,900000,263.163640022
6,1000000,900000,259.600348949
7,1000000,900000,269.235086918
8,1000000,900000,239.571402073
9,1000000,900000,233.14468503
10,1000000,900000,233.819133043
