

Test SearchCount: 1000 Invalid Count: 1000 StringCount: 10000
HashTable-1425969239-Insert
Trial,N,BasicOps,Time
1,10000,90000,0.0174729824066
2,10000,90000,0.014652967453
3,10000,90000,0.0142757892609
4,10000,90000,0.0143461227417
5,10000,90000,0.014349937439
6,10000,90000,0.0143029689789
7,10000,90000,0.014417886734
8,10000,90000,0.0143160820007
9,10000,90000,0.0142841339111
10,10000,90000,0.0143020153046


HashTable-1425969239-SearchSuccessful
Trial,N,BasicOps,Time
1,10000,9000,0.00512385368347
2,10000,9000,0.00509095191956
3,10000,9000,0.00514698028564
4,10000,9000,0.00509786605835
5,10000,9000,0.00509309768677
6,10000,9000,0.00510501861572
7,10000,9000,0.00512599945068
8,10000,9000,0.00510787963867
9,10000,9000,0.00549983978271
10,10000,9000,0.00518798828125


HashTable-1425969239-SearchInvalidStrings
Trial,N,BasicOps,Time
1,10000,9000,0.00851106643677
2,10000,9000,0.00847697257996
3,10000,9000,0.00850796699524
4,10000,9000,0.00853586196899
5,10000,9000,0.00846600532532
6,10000,9000,0.00855302810669
7,10000,9000,0.00847887992859
8,10000,9000,0.00845384597778
9,10000,9000,0.00847101211548
10,10000,9000,0.00852084159851
